experiment,commit,seed,hardware,rust_version,mode,rule,train_pairs,test_pairs,cdt_enabled,rqm_enabled,field_only,cosine_dynamic,cosine_static,cosine_linear,cosine_nn,cosine_table,coord_err_dynamic,rule_generalization,novel_state_generation,experience_gain,leakage_score,cdt_query_count,rqm_query_count,energy,stability,steps_trained,encoder_hash,dynamics_hash,verdict,periphery,notes
FASE_A_field_only_scaffold,c0bba6f,923648,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,,0,0,false,false,true,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.000000,0,,,POSITIVE,numeric_field_only (GGUF on disk unused for rule core),FIELD_ONLY defaults: RQM=OFF CDT=OFF; leakage=0; path=input→encoder→D_phi→output
E18A_direct_no_cdt,c0bba6f,923648,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=2;dy=1),4,1,false,false,true,0.946539,-0.448063,0.948320,0.723501,0.000000,0.830869,0.946539,1.000000,0.000000,0,0,0,0.053461,0.999897,3200,4701be0639406849,d3c2d687b15d33b4,STRONG_POSITIVE,numeric_field_only (GGUF on disk unused for rule core),A5 never in train; FIELD_ONLY; static=-0.448 linear=0.948 nn=0.724 table=0.000 coord_err=0.831 audit_path=input→encoder→D_phi→output elapsed_ms=43.9
E18B_episodic_cdt_consolidation,c0bba6f,923648,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.875614,0.375006,0.291607,0.949088,0.000000,0.803404,0.875614,1.000000,0.000000,0,0,0,0.124386,0.999957,640,5ecf59d117e35763,50675550e2f67043,POSITIVE,numeric_field_only (GGUF on disk unused for rule core),consolidate_calls=4 mean_delta=true target_in_cdt=false eval_cdt_queries=0 coord_err=0.803 elapsed_ms=27.0
E18C_cdt_vs_no_cdt,c0bba6f,923648,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.462893,0.192524,0.259711,0.357186,0.000000,0.000000,0.462893,0.000000,0.203182,0,0,0,0.000000,0.000000,0,,,POSITIVE,numeric_field_only (GGUF on disk unused for rule core),C0=0.193 C1=0.260 C2=0.463 C3=0.357 gain(C2-max(C0;C1))=0.203 elapsed_ms=27.9
E19_no_lookup_audit,c0bba6f,923648,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=2;dy=1),4,1,false,false,true,0.946539,-0.448063,0.948320,0.723501,0.000000,0.830869,0.946539,1.000000,0.000000,0,0,0,0.053461,0.999897,3200,4701be0639406849,d3c2d687b15d33b4,POSITIVE,numeric_field_only (GGUF on disk unused for rule core),E19 audit-only: leakage=0 cdt_q=0 rqm_q=0 table_q=0 nn_q=0 attractor_q=0; wrapped_E18A_verdict=STRONG_POSITIVE; A5 never in train; FIELD_ONLY; static=-0.448 linear=0.948 nn=0.724 table=0.000 coord_err=0.831 audit_path=input→encoder→D_phi→output elapsed_ms=40.0
E20_trajectory_vs_rule,c0bba6f,923648,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=1.5;dy=0.5),10,1,false,false,true,0.746909,0.635499,0.000000,0.000000,0.000000,0.000000,0.746909,0.000000,0.111410,0,0,0,0.000000,0.000000,1600,abbdfc7c18abaf8c,812fb95acf7e2e78,PARTIAL,numeric_field_only (GGUF on disk unused for rule core),cos_rule=0.747 cos_traj=0.635 delta=0.111 elapsed_ms=34.8
E21_abstract_rule_param,c0bba6f,923648,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=2;dy=1); extrap dx=3,12,6,false,false,true,0.188664,-0.022689,0.138570,0.000000,0.000000,0.000000,0.188664,0.138570,0.000000,0,0,0,0.000000,0.000000,1920,7ca17b737e741a86,16897215f86fef8e,NULL,numeric_field_only (GGUF on disk unused for rule core),same_param_cos=0.189 extrap_raw=-0.023 extrap_ctx=0.139 elapsed_ms=45.6
E22_unobserved_composition,c0bba6f,923648,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,T2(T1(x)) never trained,14,4,false,false,true,0.504205,0.556387,0.000000,0.034945,0.000000,0.000000,0.504205,0.000000,0.000000,0,0,0,0.000000,0.000000,1400,2fb0a95293e925a3,6497962c1ab37497,NULL,numeric_field_only (GGUF on disk unused for rule core),compose2=0.504 one_step=0.556 nn=0.035 elapsed_ms=26.8
E23_long_horizon,c0bba6f,923648,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R1_translation(dx=0.5;dy=0.25),16,1,false,false,true,0.899207,0.243274,0.367104,0.000000,0.000000,0.000000,0.243274,0.000000,0.000000,0,0,0,0.000000,0.327592,1920,4c971a872f2b2cb1,fcf65a8a3377346c,PARTIAL,numeric_field_only (GGUF on disk unused for rule core),horizons_cos=["0.899"; "0.614"; "0.234"; "0.243"; "0.401"; "0.367"] pert_h8=["0.235"; "0.280"; "0.382"; "0.413"] elapsed_ms=31.1
E24_static_vs_dynamic,c0bba6f,923648,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_2_DYNAMIC_FIELD,R2_rotation(theta=0.5236),10,4,false,false,true,0.531133,0.568865,0.553683,0.000000,0.000000,0.000000,0.531133,0.000000,-0.037732,0,0,0,0.000000,0.000000,800,6264f97e3b135413,5e15ab78470ad791,NEGATIVE,numeric_field_only (GGUF on disk unused for rule core),dynamic=0.531 static=0.569 random_dyn=0.554 delta=-0.038 elapsed_ms=27.3
E25_cdt_experience_not_answer,c0bba6f,923173,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),MODE_3_DYNAMIC_PLUS_CDT_TRAINING,R1_translation(dx=2;dy=1),4,1,true,false,true,0.016231,0.976633,-0.106516,-0.651288,0.000000,2.133236,0.016231,0.016231,0.000000,0,0,0,0.983769,0.999971,640,26a32c7e5ee9462a,5bc4acf7b87aeb5a,NEGATIVE,numeric_field_only (GGUF on disk unused for rule core),scaffold via E18B path (novel target not in CDT); full multi-family deferred. consolidate_calls=4 mean_delta=true target_in_cdt=false eval_cdt_queries=0 coord_err=2.133 elapsed_ms=23.1
