experiment,seed,commit,rule,mode,cos_dyn,cos_static,cos_linear,cos_nn,cos_table,mse,rel_err,energy,stability,experience_gain,leakage,train_n,dev_n,test_n,test_sha256,hyperparam_lock,contamination,steps,verdict,field_only,notes
FASE_A_cleanroom_field_only,0xA300,0aeaa14,,MODE_2_DYNAMIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,0,POSITIVE,true,"clean-room defaults: random init, CDT empty, RQM/NN/table/attractor OFF; leakage=0"
E18_reinforced_rule_learning,0xA300,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.967511,0.963484,0.971176,0.933703,0.000000,0.002707,0.251277,1.000000,0.999894,0.000000,0,28,10,12,eaa87762aed2481f5d75b631961eb4f6b7d1f010fb0b22d1ab37757c140cf9c8,LOCKED,CLEAN,16800,PARTIAL,true,"continuous T; X_new/B_new outside train; MSE=0.0027 rel=0.2513 energy=1.0000 stab=0.9999; path=input→FieldEncoder→D_phi→output; leak=0"
E18C_cdt_conditions_C0_C6,0xA3C0,0aeaa14,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.994142,0.806822,0.990978,0.916783,0.000000,0.000488,0.105213,1.000000,0.999956,-0.000634,0,28,10,12,4fdb267e082a901958e20a97ca39c946783964bf94b734148f863df5aedb39b0,LOCKED,CLEAN,16800,NULL,true,"C0=0.994 C1=0.994 C2=0.994 C3=0.995 C4=0.968 C5=0.994 C6=0.985; gain=-0.001; FIELD_ONLY eval queries=0"
E19_provenance_audit,0xAD19,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.965176,0.962083,0.950088,0.922279,0.000000,0.002902,0.254664,1.000000,0.999902,0.000000,0,28,10,12,2feb1ce98e9b17ccad2adb5c6f18937a4306d3b7215a61539d6852ea28a2fa7f,LOCKED,CLEAN,16800,PARTIAL,true,"flags train/dev/cdt/rqm/attr/table/nn/equiv=0/0/0/0/0/0/0/0; queries cdt/rqm/table/nn/attr=0/0/0/0/0; leak=0"
E20_rule_vs_trajectory_antimem,0xA300,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.989082,0.998099,0.969600,0.971018,0.000000,0.000910,0.138069,1.000000,0.999945,0.000000,0,28,10,12,62b2cde5c9b07fd33a33afa5ad2d2500793638281378be38fda24dfb127f2cfc,LOCKED,CLEAN,16800,PARTIAL,true,"rule_cos=0.989 traj_cos=0.997 anti_cos=0.966; antimem_drop=0.023"
E21_interpolation_vs_extrapolation,0xA300,0aeaa14,translation_param,MODE_2_DYNAMIC_FIELD,0.939475,0.955230,0.966022,0.948961,0.000000,0.005044,0.347890,1.000000,0.999978,0.000000,0,20,6,6,67a4dda9e1ff9958b538311d93d53e2ac28ce086744fff23d65d277fa99d1ab6,LOCKED,CLEAN,12000,NULL,true,"interp_cos=0.939 extrap_cos=0.939 (dx protocol; train dx in [-2,2] test dx=3)"
E22_composition_rqm_off,0xA300,0aeaa14,compose,MODE_2_DYNAMIC_FIELD,0.971949,0.955953,0.970602,0.889718,0.000000,0.002338,0.235010,1.000000,0.999919,0.000000,0,28,0,12,bf0e8911d12fbe079a24c360baf7783c6ce894e556ea56211a4604507a0b1283,LOCKED,CLEAN,16800,PARTIAL,true,"D_phi RQM-OFF compose; controls static=0.956 linear=0.971 nn=0.890 table=0.000; RQM compose=control only"
E23_rollout_no_teacher_forcing,0xA300,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,-0.055383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.604518,0.000000,0,28,0,12,7377565dd473dbcd4ef81fb73100aaa9192e4fa0ad6e2ff681b221e80c097bde,LOCKED,CLEAN,16800,PARTIAL,true,"horizons [1, 2, 4, 8, 16, 32, 64] cos [0.9978542723207032, 0.9902232531818634, 0.9468945728112662, 0.6045175025432029, -0.342989147642554, 0.06591617951647842, -0.055383267433239756] energy [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0] (no teacher forcing)"
E24_static_vs_dynamic_paired,0xA300,0aeaa14,,MODE_2_DYNAMIC_FIELD,0.979077,0.952114,0.971437,0.929144,0.000000,0.001744,0.203578,1.000000,0.999928,0.000000,0,28,0,12,ce185ebc1a8fc176dd486eab7dea531c4a0b8a3d7e99a7d7d9073bf2e2ef2af2,LOCKED,CLEAN,15120,NULL,true,"delta_mean=0.0270 median=0.0302 std=0.0175 bootstrap95%=[0.0181,0.0369] effect≈1.540"
E25_central_experience_cdt_cycle,0x415B,0aeaa14,scaling,MODE_2_DYNAMIC_FIELD,0.999058,0.999089,0.997795,0.961248,0.000000,0.000079,0.042289,1.000000,0.999959,0.001275,0,28,10,12,fcd31ebdfebdc448d391e89c42a59e4e714e2a6c4cd5b6bdf46febb07f85edd1,LOCKED,CLEAN,16800,NULL,true,"cycle E→CDT→D_phi→Y_new; with_exp=0.999 without=0.998 gain=0.001; Y_new_unstored=true; memories OFF at eval"
E26_experience_ablation_A_G,0xADE6,0aeaa14,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.969775,0.683102,0.964867,0.870940,0.000000,0.002519,0.241872,1.000000,0.999962,0.011709,0,28,10,12,bfca58e67e7edf928781b931c6608036dd083b2ef94200bb4ba6ec992d51a89a,LOCKED,CLEAN,16800,NULL,true,"ablations A=no-exp B=unconsol C=consol D=corrupt E=irrelevant F=other-rule G=stats-only; C0=0.970 C1=0.970 C2=0.981 C3=0.992 C4=0.967 C5=0.988 C6=0.968; gain=0.012; FIELD_ONLY eval queries=0"
E27_rule_transfer,0xA300,0aeaa14,transfer_translation,MODE_2_DYNAMIC_FIELD,0.988540,0.987075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0ed2be07bc4e221269aa9c79315bde81b6e9490be3b3771ff414ae26ad821c07,LOCKED,CLEAN,15120,NULL,true,"B1=0.989 B2=0.971 B3=0.975; targets never in consolidation"
E28_continual_forgetting,0xA300,0aeaa14,,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.992443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,30240,PARTIAL,true,"R1..R4 retention [0.9876890693515886, 0.9892465789466357, 0.9970718782216469, 0.9957626032315271] forgetting=-0.008; CDT regularity replay"
E29_causal_intervention,0xA300,0aeaa14,,,0.982758,0.952348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,77ec6be58f9721dc74d49bdd423632f2183b28a2bc3df5b3bc87ebc9adc631d6,LOCKED,CLEAN,0,PARTIAL,true,"baseline=0.983 targeted=0.800 random=0.983 rollback=0.983; drop_t=0.183 drop_r=-0.000 rollback_ok=true"
E30_serialize_reload_persistence,0xA300,0aeaa14,,,0.970038,0.949035,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,73342d52894836750964efd8678abbc25ca9235a8beda93fc579cbfd45780e06,LOCKED,CLEAN,0,PARTIAL,true,"P0(enc+dyn+cdt)=0.970 P1(enc+dyn)=0.970 P2(dyn+fresh_enc)=0.879 P3(cdt_stats)=0.949; in-process serialize/reload; OS restart deferred"
FASE_A_cleanroom_field_only,0xA301,0aeaa14,,MODE_2_DYNAMIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,0,POSITIVE,true,"clean-room defaults: random init, CDT empty, RQM/NN/table/attractor OFF; leakage=0"
E18_reinforced_rule_learning,0xA301,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.987688,0.978787,0.970845,0.917819,0.000000,0.001026,0.155163,1.000000,0.999902,0.000000,0,28,10,12,c15fb7abe3cbe4fd766bea44898fba93edbeef342fe263015a13f8e4f500c518,LOCKED,CLEAN,16800,PARTIAL,true,"continuous T; X_new/B_new outside train; MSE=0.0010 rel=0.1552 energy=1.0000 stab=0.9999; path=input→FieldEncoder→D_phi→output; leak=0"
E18C_cdt_conditions_C0_C6,0xA3C1,0aeaa14,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.987944,0.780622,0.989663,0.962032,0.000000,0.001005,0.152121,1.000000,0.999952,0.001373,0,28,10,12,cac74a73d1fd0582fdc080794eac8ef58fdfdce85672c8fc2e5d4c4d3e002a79,LOCKED,CLEAN,16800,NULL,true,"C0=0.988 C1=0.988 C2=0.989 C3=0.992 C4=0.971 C5=0.993 C6=0.989; gain=0.001; FIELD_ONLY eval queries=0"
E19_provenance_audit,0xAD18,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.949691,0.963054,0.938868,0.691031,0.000000,0.004192,0.299783,1.000000,0.999927,0.000000,0,28,10,12,5c4539e188a23c8e9ab60741189e05c519ed7f7fc51a290c1430dbee7ac37b43,LOCKED,CLEAN,16800,NULL,true,"flags train/dev/cdt/rqm/attr/table/nn/equiv=0/0/0/0/0/0/0/0; queries cdt/rqm/table/nn/attr=0/0/0/0/0; leak=0"
E20_rule_vs_trajectory_antimem,0xA301,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.994601,0.998857,0.975949,0.985694,0.000000,0.000450,0.100978,1.000000,0.999926,0.000000,0,28,10,12,4245419fb9fbc62c5b750af8ede5014591c31ca5f19b76cd6238fc9509cc9356,LOCKED,CLEAN,16800,PARTIAL,true,"rule_cos=0.995 traj_cos=1.000 anti_cos=0.975; antimem_drop=0.019"
E21_interpolation_vs_extrapolation,0xA301,0aeaa14,translation_param,MODE_2_DYNAMIC_FIELD,0.882803,0.980461,0.876069,0.792065,0.000000,0.009766,0.483768,1.000000,0.999955,0.000000,0,20,6,6,6f39db9950b2a273680037ccd385944b9f18eafc701bc4611da2c81ceea152d9,LOCKED,CLEAN,12000,NEGATIVE,true,"interp_cos=0.848 extrap_cos=0.883 (dx protocol; train dx in [-2,2] test dx=3)"
E22_composition_rqm_off,0xA301,0aeaa14,compose,MODE_2_DYNAMIC_FIELD,0.970617,0.955844,0.988309,0.913020,0.000000,0.002449,0.242164,1.000000,0.999960,0.000000,0,28,0,12,7d87d117063dda13dc1176ec7834f205663f0831bb4bd264d69c3e114ed136e7,LOCKED,CLEAN,16800,PARTIAL,true,"D_phi RQM-OFF compose; controls static=0.956 linear=0.988 nn=0.913 table=0.000; RQM compose=control only"
E23_rollout_no_teacher_forcing,0xA301,0aeaa14,translation,MODE_2_DYNAMIC_FIELD,0.168802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.792541,0.000000,0,28,0,12,a7def737e989a427f7053f68c32a62d76fa4c548475534ee0e58a63a778a0137,LOCKED,CLEAN,16800,PARTIAL,true,"horizons [1, 2, 4, 8, 16, 32, 64] cos [0.9975545197217817, 0.9897019067617991, 0.955657285367529, 0.7925408244891877, 0.32872454797312217, 0.2756731310483594, 0.16880179610098364] energy [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0] (no teacher forcing)"
E24_static_vs_dynamic_paired,0xA301,0aeaa14,,MODE_2_DYNAMIC_FIELD,0.982632,0.968283,0.974740,0.963604,0.000000,0.001447,0.185096,1.000000,0.999893,0.000000,0,28,0,12,8f31890df5ecac490d91ae1199bc61d2318ea292d7b129712707b0dc8175bbaa,LOCKED,CLEAN,15120,NULL,true,"delta_mean=0.0143 median=0.0145 std=0.0108 bootstrap95%=[0.0083,0.0200] effect≈1.328"
E25_central_experience_cdt_cycle,0x415A,0aeaa14,scaling,MODE_2_DYNAMIC_FIELD,0.998351,0.998509,0.994472,0.976653,0.000000,0.000137,0.056595,1.000000,0.999957,-0.000320,0,28,10,12,96ce42954a222e4656254aabbe6971ae16a82e90b9fd4495855dadab5d096098,LOCKED,CLEAN,16800,NULL,true,"cycle E→CDT→D_phi→Y_new; with_exp=0.998 without=0.999 gain=-0.000; Y_new_unstored=true; memories OFF at eval"
