experiment,seed,commit,rule,mode,cos_dyn,cos_static,cos_linear,cos_nn,cos_table,mse,rel_err,energy,stability,experience_gain,leakage,train_n,dev_n,test_n,test_sha256,hyperparam_lock,contamination,steps,verdict,field_only,notes
FASE_A_cleanroom_field_only,0xA300,6dc63e8,,MODE_2_DYNAMIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,,LOCKED,CLEAN,0,POSITIVE,true,"clean-room defaults: random init, CDT empty, RQM/NN/table/attractor OFF; leakage=0"
E18_reinforced_rule_learning,0xA300,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.926558,0.993424,0.989285,0.974012,0.000000,0.006120,0.352239,1.000000,0.999807,0.000000,0,80,20,24,bd9a7ca5c01e0b0518c8bf4c9f17e9be952a5661f056bd253ff36753121c4706,LOCKED,CLEAN,296314,NEGATIVE,true,"continuous T; X_new/B_new outside train; MSE=0.0061 rel=0.3522 energy=1.0000 stab=0.9998; path=input→FieldEncoder→D_phi→output; leak=0"
E18C_cdt_conditions_C0_C6,0xA3C0,6dc63e8,rotation,MODE_3_DYNAMIC_PLUS_CDT_TRAINING,0.942928,0.954656,0.947306,0.928525,0.000000,0.004756,0.329366,1.000000,0.999805,-0.063746,0,80,20,24,bf5cfd32782c940947dfc420dc29e5c1786f4df4b480169b13a33db7abe110a8,LOCKED,CLEAN,296313,PARTIAL,true,"C0=0.943 C1=0.943 C2=0.879 C3=0.812 C4=0.894 C5=0.839 C6=0.984; gain=-0.064; FIELD_ONLY eval queries=0"
E19_provenance_audit,0xAD19,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.980603,0.992734,0.980602,0.968295,0.000000,0.001616,0.175306,1.000000,0.999719,0.000000,0,80,20,24,98b2527004d442f45eb63ac443a14199292bdc7c226e4394c6392ed10142b771,LOCKED,CLEAN,296390,NULL,true,"flags train/dev/cdt/rqm/attr/table/nn/equiv=0/0/0/0/0/0/0/0; queries cdt/rqm/table/nn/attr=0/0/0/0/0; leak=0"
E20_rule_vs_trajectory_antimem,0xA300,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,0.964291,0.998745,0.982978,0.970665,0.000000,0.002976,0.260016,1.000000,0.999793,0.000000,0,80,20,24,437d9b734d999d4a8da463b879970fa2a54a3949186ef657c2e88f972c327b17,LOCKED,CLEAN,296314,PARTIAL,true,"rule_cos=0.964 traj_cos=0.998 anti_cos=0.973; antimem_drop=-0.009"
E21_interpolation_vs_extrapolation,0xA300,6dc63e8,translation_param,MODE_2_DYNAMIC_FIELD,0.989757,0.991480,0.991006,0.977692,0.000000,0.000854,0.142307,1.000000,0.999985,0.000000,0,108,20,24,20bc33efbefbfb7c1295afbf0ac31c31fe40d4ef57717f1870336c2171027c5e,LOCKED,CLEAN,400067,NULL,true,"interp_cos=0.977 extrap_cos=0.990 (dx denser curriculum; action geom-norm +0.25; train dx in [-2,2] test dx=3; n_train=108)"
E22_composition_rqm_off,0xA300,6dc63e8,compose,MODE_2_DYNAMIC_FIELD,0.927413,0.966637,0.864861,0.736598,0.000000,0.007521,0.424690,1.000000,0.999960,0.000000,0,120,0,24,910ca1bebd7cfb3cbcbba54c2daa3bcd24ea5221672e2c04353d37961a3aeb91,LOCKED,CLEAN,444435,NULL,true,"seq-oracle compose RQM-OFF cos=0.927 static=0.967 step1=0.973; single-shot compose action cos=0.910; controls linear=0.865 nn=0.737 table=0.000"
E23_rollout_no_teacher_forcing,0xA300,6dc63e8,translation,MODE_2_DYNAMIC_FIELD,-0.372272,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.976738,0.000000,0,80,0,24,ad886f3c3d8b022de25023e329c18ecae3113d791dffed314273184293dd7370,LOCKED,CLEAN,296313,PARTIAL,true,"horizons [1, 2, 4, 8, 16, 32, 64] cos [0.997160354572027, 0.9925998078285817, 0.9875791681866172, 0.9767378292802178, 0.7281271174063302, 0.16057177805379103, -0.3722715801515772] energy [1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0] (no teacher forcing)"
E24_static_vs_dynamic_paired,0xA300,6dc63e8,,MODE_2_DYNAMIC_FIELD,0.992830,0.982075,0.983665,0.970833,0.000000,0.000598,0.118347,1.000000,0.999965,0.000000,0,80,0,24,b52e1ac329a61750008fb2ed3190f7c39d371b950c22e6a17b34188e11a2f158,LOCKED,CLEAN,268800,NULL,true,"delta_mean=0.0108 median=0.0106 std=0.0074 bootstrap95%=[0.0084,0.0133] effect≈1.450"
E25_central_experience_cdt_cycle,0x415B,6dc63e8,scaling,MODE_2_DYNAMIC_FIELD,0.991112,0.997762,0.990585,0.979180,0.000000,0.000741,0.132944,1.000000,0.999947,0.001398,0,80,20,24,4b375e86737e79acd720417053d7a9bb863e068702c2e6ce69261ba736786b9a,LOCKED,CLEAN,296381,NULL,true,"cycle E→CDT→D_phi→Y_new; with_exp=0.991 without=0.990 gain=0.001; Y_new_unstored=true; memories OFF at eval"
