experiment,commit,seed,hardware,rust_version,n_concepts,train_examples,unseen_examples,ood_examples,encoder_type,encoder_frozen,field_trainable,dynamics_trainable,cdt_enabled,rqm_enabled,decoder_type,mode,accuracy_seen,accuracy_unseen,accuracy_ood,energy_initial,energy_final,energy_delta,top1,top2,margin,abstentions,field_steps,rollout_steps,convergence_steps,mean_us,p50_us,p95_us,p99_us,target_in_training,target_in_rqm,target_in_cdt,target_in_attractor_bank,forgetting_A,forgetting_B,forgetting_C,checkpoint_hash,field_hash,llm_hash,intra_cosine,inter_cosine,knn_acc,silhouette,stability,verdict,periphery,notes
E11_trainable_field_encoder,c59b9fe,921856,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),13,900,6,0,TrainableFieldEncoder,true,true,false,false,false,nearest_fp,STATIC_FIELD,0.692308,0.833333,0.625000,59.532753,59.532753,0.000000,0.692308,0.230769,0.611361,0,900,0,900,95.119500,93.461000,120.304000,120.304000,false,false,false,false,0.000000,0.000000,0.000000,fde4375bb9fd1306,45dc18e0c24fb887,gemma2-frozen-gguf,0.694704,0.083343,0.692308,0.666946,0.990505,PARTIAL: geometry improved but not all criteria,gemma-gguf,raw_margin=0.000 rand_margin=0.013 pre_margin=0.062 post_margin=0.611 raw_knn=0.385 rand_knn=0.231 knn=0.692 para=0.833 sil=0.667 stab=0.991 causal_delta=0.775 loss_end=1.9819 elapsed_ms=296 raw_intra=1.000 raw_inter=1.000
E12_crosslingual_concept,c59b9fe,921856,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,6,3,5,gemma_hidden_blockmean/TrainableFieldEncoder+contrastive,true,true,false,false,false,nearest_fp,STATIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,,,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,SKIPPED_NO_GGUF,none (SKIPPED_NO_GGUF),try_open falló: no se encontró Gemma 2; usa --model RUTA_GGUF o GEMMA2_GGUF
E13_relational_field,c59b9fe,921856,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),8,5,3,1,gemma_hidden/TrainableFieldEncoder+hier_proto+Dphi+R,true,true,true,false,true,nearest_fp,DYNAMIC_FIELD,0.800000,1.000000,0.333333,0.000000,52.514362,0.000000,0.800000,0.000000,-0.472485,0,16,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,e0a2a701e5725aee,8c2f0f0747048e36,gemma2-frozen-gguf,0.000000,0.000000,1.000000,0.000000,0.000000,PASS: unseen>=0.66 y dynamic>=static>=table (RQM solo control),gemma-gguf,A_table seen=1.00 un=0.00; B_RQM seen=0.60 un=0.00; C_static seen=0.20 un=0.33; D_dynamic seen=0.80 un=1.00; comp_like=1.00; periphery=gguf-hidden; anti_leak_aguila_servivo=1; holdout=[lobo->animal:1;lobo->mamífero:1;águila->ser-vivo:1]; alpha=0.78; animal_ball=1; tax_ancestors=1
E14_incremental_forgetting,c59b9fe,921856,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,4,0,0,TrainableFieldEncoder,true,true,false,false,false,nearest_fp,STATIC_FIELD,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.031394,-0.000000,-0.002142,4e15d402f4d94beb,d0707c5d41351850,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,PASS: incremental recall retained; adversarial retain>=0.5,gemma-gguf,dR_A=0.031 dR_B=-0.000 dR_C=-0.002 final_acc=1.000 adv_retain_ABC=1.000 curve_A=Some([0.9636326945073439; 0.9994144162560841; 0.9986767511792158; 0.9950265375153415]) curve_B=Some([0.9999999999999987; 0.9994909068894604; 0.9999996783080494]) local_bias=1
E15_semantic_without_labels,c59b9fe,921856,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),6,6,2,0,factored_compose+manifold_Dphi/TrainableFieldEncoder,true,true,true,false,false,nearest_fp,DYNAMIC_FIELD,1.000000,0.800000,1.000000,2.195218,3.569609,1.374391,0.800000,0.000000,0.246369,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,11155f330c2ff111,6dc4c5cfcaf967bb,gemma2-frozen-gguf,0.000000,0.000000,1.000000,0.000000,0.080660,PASS: unseen incompatible combos less stable / farther from manifold,gemma-gguf,E_ok=2.1952 E_bad=3.5696 d_man_ok=0.1605 d_man_bad=0.4068 stab_ok=0.8327 stab_bad=0.7520 structure=3/3 rank_acc=0.800 margin_E=1.3744 arch=factor_compose+Dphi_manifold
E16_field_dynamics,c59b9fe,921856,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,3,1,0,TrainableFieldEncoder,true,true,true,true,true,nearest_fp,DYNAMIC_FIELD,1.000000,1.000000,1.000000,65.959166,73.620681,0.000000,0.999998,1.000000,0.490427,0,400,3,0,0.000000,0.000000,0.000000,0.000000,false,true,true,false,0.000000,0.000000,0.000000,47837def6c1ae0ab,4e3a8221d5f56512,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,PASS: Dphi predicts transitions; rollout partial; RQM control separate,gemma-gguf,table_ok=true nn_next=B rqm_direct=1 rqm_compose=3 cdt_pred=1 cos_B=1.000 rollB=1.000 rollC=1.000 rollD=1.000 static_cosAB=0.499 causal_pre=0.510 audit_clean_for_AtoD_train=true
E17_never_observed_states,c59b9fe,921856,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),3,2,1,0,TrainableFieldEncoder,true,true,true,false,true,nearest_fp,DYNAMIC_FIELD,0.995122,1.000000,1.000000,0.000000,46.672462,0.000000,0.998135,0.990720,0.007414,0,0,2,0,0.000000,0.000000,0.000000,0.000000,false,true,false,false,0.000000,0.000000,0.000000,8330bfcfcaee1d9f,f3d6d6e7d02cc04d,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,PASS: Dphi two-step + ToR approach never-stored A->C (RQM compose flagged separately),gemma-gguf,dist_C=0.0019 dist_B=0.0093 comp_dist=0.0000 rqm_direct_edge=false rqm_compose_pred=2 audit_train=false audit_rqm_compose=true audit_bank=false valid_unseen=true
E11_trainable_field_encoder,c59b9fe,921857,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),13,900,6,0,TrainableFieldEncoder,true,true,false,false,false,nearest_fp,STATIC_FIELD,0.923077,1.000000,0.625000,59.963654,59.963654,0.000000,0.923077,0.153846,0.874416,0,900,0,900,92.365500,87.445000,120.367000,120.367000,false,false,false,false,0.000000,0.000000,0.000000,86ed58649ccd1e39,133401d9e16a8f98,gemma2-frozen-gguf,0.802074,-0.072342,0.923077,0.815426,0.990268,PASS: trained encoder geometry > random projector,gemma-gguf,raw_margin=0.000 rand_margin=0.005 pre_margin=0.008 post_margin=0.874 raw_knn=0.154 rand_knn=0.154 knn=0.923 para=1.000 sil=0.815 stab=0.990 causal_delta=0.997 loss_end=1.4388 elapsed_ms=276 raw_intra=1.000 raw_inter=1.000
E12_crosslingual_concept,c59b9fe,921857,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,6,3,5,gemma_hidden_blockmean/TrainableFieldEncoder+contrastive,true,true,false,false,false,nearest_fp,STATIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,,,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,SKIPPED_NO_GGUF,none (SKIPPED_NO_GGUF),try_open falló: no se encontró Gemma 2; usa --model RUTA_GGUF o GEMMA2_GGUF
E13_relational_field,c59b9fe,921857,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),8,5,3,1,gemma_hidden/TrainableFieldEncoder+hier_proto+Dphi+R,true,true,true,false,true,nearest_fp,DYNAMIC_FIELD,0.800000,1.000000,0.666667,0.000000,52.840743,0.000000,0.800000,0.000000,-0.486525,0,16,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,151be1f3ee74ccf2,f3db0dd91e2919b4,gemma2-frozen-gguf,0.000000,0.000000,1.000000,0.000000,0.000000,PASS: unseen>=0.66 y dynamic>=static>=table (RQM solo control),gemma-gguf,A_table seen=1.00 un=0.00; B_RQM seen=0.60 un=0.00; C_static seen=0.40 un=0.67; D_dynamic seen=0.80 un=1.00; comp_like=1.00; periphery=gguf-hidden; anti_leak_aguila_servivo=1; holdout=[lobo->animal:1;lobo->mamífero:1;águila->ser-vivo:1]; alpha=0.78; animal_ball=1; tax_ancestors=1
E14_incremental_forgetting,c59b9fe,921857,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,4,0,0,TrainableFieldEncoder,true,true,false,false,false,nearest_fp,STATIC_FIELD,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,-0.006074,-0.000015,-0.001235,db81527cadb4fb3c,d7a9d240d5fb5d21,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,PASS: incremental recall retained; adversarial retain>=0.5,gemma-gguf,dR_A=-0.006 dR_B=-0.000 dR_C=-0.001 final_acc=1.000 adv_retain_ABC=1.000 curve_A=Some([0.9993554520458104; 0.9992031755682206; 0.9994441837826883; 0.9932810177710603]) curve_B=Some([1.0000000000000002; 0.999433847377641; 0.9999853519829456]) local_bias=1
E15_semantic_without_labels,c59b9fe,921857,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),6,6,2,0,factored_compose+manifold_Dphi/TrainableFieldEncoder,true,true,true,false,false,nearest_fp,DYNAMIC_FIELD,1.000000,0.600000,1.000000,3.620942,3.926915,0.305973,0.600000,0.000000,0.043742,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,a1773393b7b42917,d1e30f81d3fd55be,gemma2-frozen-gguf,0.000000,0.000000,1.000000,0.000000,0.138501,PARTIAL: structural separation improving; margin/ranking aún cortos,gemma-gguf,E_ok=3.6209 E_bad=3.9269 d_man_ok=0.3488 d_man_bad=0.3925 stab_ok=0.5395 stab_bad=0.4010 structure=3/3 rank_acc=0.600 margin_E=0.3060 arch=factor_compose+Dphi_manifold
E16_field_dynamics,c59b9fe,921857,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,3,1,0,TrainableFieldEncoder,true,true,true,true,true,nearest_fp,DYNAMIC_FIELD,1.000000,1.000000,1.000000,67.263825,66.767190,0.000000,0.984701,0.994610,0.013386,0,400,3,0,0.000000,0.000000,0.000000,0.000000,false,true,true,false,0.000000,0.000000,0.000000,6e0cae7a3dac4c48,4e96b8a735d60985,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,WEAK: mild dynamics; may not beat static/NN,gemma-gguf,table_ok=true nn_next=B rqm_direct=1 rqm_compose=3 cdt_pred=1 cos_B=0.985 rollB=0.985 rollC=0.863 rollD=0.995 static_cosAB=0.985 causal_pre=0.971 audit_clean_for_AtoD_train=true
E17_never_observed_states,c59b9fe,921857,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),3,2,1,0,TrainableFieldEncoder,true,true,true,false,true,nearest_fp,DYNAMIC_FIELD,0.995168,1.000000,1.000000,0.000000,47.471107,0.000000,0.998974,0.989710,0.009264,0,0,2,0,0.000000,0.000000,0.000000,0.000000,false,true,false,false,0.000000,0.000000,0.000000,e14fa53933ceadd2,994b8bfb5d6cf958,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,PASS: Dphi two-step + ToR approach never-stored A->C (RQM compose flagged separately),gemma-gguf,dist_C=0.0010 dist_B=0.0103 comp_dist=-0.0000 rqm_direct_edge=false rqm_compose_pred=2 audit_train=false audit_rqm_compose=true audit_bank=false valid_unseen=true
E11_trainable_field_encoder,c59b9fe,921858,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),13,900,6,0,TrainableFieldEncoder,true,true,false,false,false,nearest_fp,STATIC_FIELD,0.769231,1.000000,0.375000,62.649207,62.649207,0.000000,0.769231,0.076923,0.713538,0,900,0,900,93.063667,86.576000,122.649000,122.649000,false,false,false,false,0.000000,0.000000,0.000000,0a40ff7754b14e75,71baaf51c0d35d6c,gemma2-frozen-gguf,0.718664,0.005126,0.769231,0.717215,0.990645,PASS: trained encoder geometry > random projector,gemma-gguf,raw_margin=0.000 rand_margin=0.004 pre_margin=0.002 post_margin=0.714 raw_knn=0.154 rand_knn=0.077 knn=0.769 para=1.000 sil=0.717 stab=0.991 causal_delta=0.370 loss_end=5.7307 elapsed_ms=273 raw_intra=1.000 raw_inter=1.000
E12_crosslingual_concept,c59b9fe,921858,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,6,3,5,gemma_hidden_blockmean/TrainableFieldEncoder+contrastive,true,true,false,false,false,nearest_fp,STATIC_FIELD,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,,,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,SKIPPED_NO_GGUF,none (SKIPPED_NO_GGUF),try_open falló: no se encontró Gemma 2; usa --model RUTA_GGUF o GEMMA2_GGUF
E13_relational_field,c59b9fe,921858,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),8,5,3,1,gemma_hidden/TrainableFieldEncoder+hier_proto+Dphi+R,true,true,true,false,true,nearest_fp,DYNAMIC_FIELD,0.800000,1.000000,0.666667,0.000000,52.695697,0.000000,0.800000,0.000000,-0.487678,0,16,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,0.000000,0.000000,0.000000,9c4d53ea7abeaefa,8fd568b6100a8b90,gemma2-frozen-gguf,0.000000,0.000000,1.000000,0.000000,0.000000,PASS: unseen>=0.66 y dynamic>=static>=table (RQM solo control),gemma-gguf,A_table seen=1.00 un=0.00; B_RQM seen=0.60 un=0.00; C_static seen=0.40 un=0.67; D_dynamic seen=0.80 un=1.00; comp_like=1.00; periphery=gguf-hidden; anti_leak_aguila_servivo=1; holdout=[lobo->animal:1;lobo->mamífero:1;águila->ser-vivo:1]; alpha=0.78; animal_ball=1; tax_ancestors=1
E14_incremental_forgetting,c59b9fe,921858,x86_64,rustc 1.98.1 (48a229cea 2026-09-01),4,4,0,0,TrainableFieldEncoder,true,true,false,false,false,nearest_fp,STATIC_FIELD,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,false,false,false,false,-0.005432,-0.000002,-0.001722,e8faa7574f1aad61,347a74ff6af49d83,gemma2-frozen-gguf,0.000000,0.000000,0.000000,0.000000,0.000000,PASS: incremental recall retained; adversarial retain>=0.5,gemma-gguf,dR_A=-0.005 dR_B=-0.000 dR_C=-0.002 final_acc=1.000 adv_retain_ABC=1.000 curve_A=Some([0.9993899415358866; 0.9986248593078386; 0.9991149750868686; 0.9939583602329681]) curve_B=Some([1.0; 0.9995320266976031; 0.9999983479999502]) local_bias=1
