layer,sliding,delta_rms,kl,top1
7,0,1.716770,0.018273,1
21,0,3.012524,0.021460,1
8,1,1.290439,0.023733,1
12,1,1.642857,0.031118,1
20,1,2.632482,0.035451,1
15,0,2.120014,0.036453,1
9,0,1.674762,0.043925,1
11,0,1.622980,0.044089,1
6,1,1.543405,0.045520,1
23,0,4.160556,0.049675,1
14,1,1.671279,0.051977,1
19,0,2.281575,0.063634,1
10,1,1.548858,0.064504,1
18,1,2.098229,0.070332,1
16,1,2.048503,0.079036,1
1,0,1.509647,0.082673,1
13,0,1.758550,0.087647,1
22,1,3.393774,0.091118,1
24,1,7.130063,0.145864,1
17,0,2.247718,0.161124,1
3,0,1.458264,0.228592,0
5,0,1.383746,0.241503,0
4,1,1.731286,0.261560,0
2,1,1.471900,0.479236,0
